date,stock_code,stock_name,margin_balance,margin_purchase_amount,margin_repayment_amount,short_selling_balance,short_selling_volume,short_selling_repayment_volume
2023-09-22,600229,城市传媒,160094521,1722385,4156638,3300,3300,2000
2023-09-22,600230,沧州大化,366781413,1379548,1250177,2520,0,0
2023-09-22,600231,凌钢股份,126573476,1090810,2143233,85100,0,0
2023-09-22,600233,圆通速递,253318776,7902861,7274174,220873,42800,4800
2023-09-22,600236,桂冠电力,96759052,7206807,1672963,3129668,4400,1600
2023-09-22,600237,铜峰电子,308604846,9171877,6164222,0,0,0
2023-09-22,600238,海南椰岛,91493478,2090185,1816840,826933,41200,43300
2023-09-22,600246,万通发展,499303015,2196352,2812427,1283584,254700,88601
2023-09-22,600248,陕建股份,288939498,12499935,12109075,361909,54300,89892
2023-09-22,600251,冠农股份,379155721,15103675,65996691,207800,207600,8500
2023-09-22,600252,中恒集团,373844636,9075855,12999692,1623038,417300,103100
2023-09-22,600255,鑫科材料,81102345,623671,1789301,0,0,0
2023-09-22,600256,广汇能源,1730320911,115290751,170531511,3392306,555751,363366
2023-09-22,600257,大湖股份,232595820,19588466,21114157,43100,0,0
2023-09-22,600258,首旅酒店,288718686,18442080,9792916,441171,73000,66600
2023-09-22,600259,广晟有色,827221486,7173402,11993358,519373,28300,11300
2023-09-22,600261,阳光照明,128923061,1351901,831477,84500,10600,7900
2023-09-22,600266,城建发展,440083562,20512291,23580723,1188973,205600,546350
2023-09-22,600267,海正药业,715354136,7793072,7227788,153427,5000,19600
2023-09-22,600268,国电南自,225615737,6430581,4128027,30000,0,0
2023-09-22,600269,赣粤高速,210878750,13229161,17342952,0,0,0
2023-09-22,600271,航天信息,688680498,8908244,15721525,1088827,26100,117800
2023-09-22,600273,嘉化能源,1156266491,6482220,35380478,481159,22500,24900
2023-09-22,600276,恒瑞医药,3919463398,43027912,42906612,5863113,261000,317715
2023-09-22,600277,亿利洁能,389851135,5632590,4597510,1141136,6900,97800
2023-09-22,600278,东方创业,214173567,2878735,6033846,2600,0,0
2023-09-22,600282,南钢股份,227467372,5577124,6900467,3222300,135900,505600
2023-09-22,600284,浦东建设,129665451,3375138,5909280,2500590,37000,27900
2023-09-22,600285,羚锐制药,203050466,6344377,6883125,342648,37800,61500
2023-09-22,600287,江苏舜天,82537729,4257130,3449817,100,0,0
2023-09-22,600288,大恒科技,401316092,870539,4387039,51800,1200,8500
2023-09-22,600292,远达环保,203742330,6182001,6385036,1200,0,0
2023-09-22,600293,三峡新材,140973433,2178884,2024769,462050,13200,126300
2023-09-22,600295,鄂尔多斯,218269740,4260333,2600145,245035,10500,11956
2023-09-22,600297,广汇汽车,653480258,7398488,13328050,7540211,294700,129800
2023-09-22,600298,安琪酵母,633935750,8648927,7287409,497559,24400,29947
2023-09-22,600299,安迪苏,187278798,616595,1579923,316648,12700,5900
2023-09-22,600305,恒顺醋业,234487370,1972268,2284746,902597,59636,14600
2023-09-22,600307,酒钢宏兴,292623751,10022459,6335968,1326300,59100,70400
2023-09-22,600308,华泰股份,346887521,1327462,1932173,364609,12900,29900
2023-09-22,600309,万华化学,1655085359,17924114,21737449,302360,32600,47700
2023-09-22,600310,广西能源,125718703,4914975,2842425,622600,0,18800
2023-09-22,600312,平高电气,291404337,8361934,3633297,417027,9800,16000
2023-09-22,600313,农发种业,249072021,5155319,6752963,2684612,98500,84400
2023-09-22,600315,上海家化,567549885,9558262,8027536,409855,58300,5000
2023-09-22,600316,洪都航空,639871828,9642419,5962390,465586,31389,49300
2023-09-22,600318,新力金融,209483645,6132476,3092380,9300,0,300
2023-09-22,600320,振华重工,267524751,7915249,3813725,2494362,0,0
2023-09-22,600322,天房发展,119819937,10696915,16498762,54300,0,0
2023-09-22,600323,瀚蓝环境,282198277,3314434,2255134,487674,51500,24100
2023-09-22,600325,华发股份,372594285,9941643,5181300,2845808,307900,92900
2023-09-22,600326,西藏天路,318581059,41780420,66910950,571490,169000,165700
2023-09-22,600328,中盐化工,592079576,12248372,12974511,670897,44800,68500
2023-09-22,600329,达仁堂,315768596,5828881,6231458,169964,30300,82900
2023-09-22,600330,天通股份,1040685236,25460622,53325364,839420,54017,176520
2023-09-22,600331,宏达股份,195764853,1289548,1505355,812190,227800,8400
2023-09-22,600332,白云山,1051995054,18758295,15236297,96061,8500,23200
2023-09-22,600333,长春燃气,87375149,4197337,2666498,0,0,0
2023-09-22,600335,国机汽车,418234005,4501341,10587514,193035,31200,76100
